,Name,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS
2089,Rodney McGruder,Kansas State,135.0,100.0,27.4,4.2,9.3,0.452,2.8,5.7,0.498,1.4,3.7,0.381,1.9,2.5,0.759,1.9,3.0,4.8,1.4,0.9,0.3,1.3,1.5,11.7,8.19
2090,Dejounte Murray,Washington,34.0,34.0,33.5,5.9,14.3,0.41600000000000004,4.9,10.8,0.457,1.0,3.5,0.28800000000000003,3.2,4.9,0.6629999999999999,1.4,4.6,6.0,4.4,1.8,0.3,3.2,2.6,16.1,8.12
2091,Jamal Murray,Kentucky,36.0,36.0,35.2,6.8,14.9,0.45399999999999996,3.6,7.3,0.502,3.1,7.7,0.408,3.3,4.2,0.7829999999999999,1.5,3.7,5.2,2.2,1.0,0.3,2.3,2.1,20.0,8.84
2092,Maurice Ndour,Ohio,66.0,60.0,32.3,5.2,10.5,0.498,4.6,8.8,0.52,0.7,1.8,0.38799999999999996,3.6,4.8,0.757,1.9,5.7,7.6,1.6,0.8,1.9,2.7,2.7,14.8,-0.36
2093,Georges Niang,Iowa State,138.0,126.0,29.8,6.2,12.3,0.5,4.8,8.7,0.5529999999999999,1.4,3.6,0.375,2.5,3.2,0.763,1.2,4.0,5.2,3.1,0.7,0.5,2.3,3.1,16.1,8.83
2094,David Nwaba,Cal Poly,88.0,77.0,26.0,4.2,9.0,0.473,4.2,8.7,0.483,0.0,0.3,0.16699999999999998,3.4,5.2,0.65,1.9,3.4,5.3,2.0,1.1,0.6,1.6,2.0,11.9,1.01
2095,Daniel Ochefu,Villanova,141.0,110.0,21.7,2.9,4.8,0.6,2.9,4.7,0.604,0.0,0.0,0.0,1.5,2.4,0.622,2.1,4.5,6.6,1.3,0.8,1.3,1.6,2.3,7.2,8.32
2096,Chinanu Onuaku,Louisville,66.0,55.0,21.0,2.8,4.5,0.619,2.8,4.4,0.621,0.0,0.0,0.0,0.7,1.3,0.547,2.4,4.0,6.4,1.1,0.8,1.6,1.7,2.7,6.2,8.36
2098,Marshall Plumlee,Duke,124.0,36.0,14.3,1.3,1.9,0.665,1.2,1.9,0.664,0.0,0.0,1.0,0.9,1.7,0.555,1.6,2.2,3.8,0.5,0.4,0.8,0.5,1.5,3.4,9.62
2099,Jakob Poeltl,Utah,70.0,70.0,26.9,5.1,7.7,0.6579999999999999,5.1,7.7,0.659,0.0,0.0,0.0,3.1,5.2,0.605,2.8,5.2,8.0,1.3,0.5,1.7,1.8,2.4,13.3,8.1
